Provider UKPRN,Provider region,Provider country,Russell Group filter,Pre 92 filter,Post 92 filter
10007807,Northern Ireland,Northern Ireland,Non-member,Member,Non-member
10007811,East Midlands,England,Non-member,Non-member,Member
10007814,Wales,Wales,Member,Member,Non-member
10007816,London,England,Non-member,Non-member,Member
10007822,East of England,England,Non-member,Non-member,Member
10007823,North West,England,Non-member,Non-member,Member
10007825,London,England,Non-member,Non-member,Non-member
10007832,West Midlands,England,Non-member,Non-member,Member
10007833,Wales,Wales,Non-member,Non-member,Non-member
10007835,London,England,Non-member,Non-member,Member
10007837,North West,England,Non-member,Non-member,Member
10007842,North West,England,Non-member,Non-member,Member
10007843,London,England,Non-member,Non-member,Member
10007848,North West,England,Non-member,Non-member,Member
10007849,Scotland,Scotland,Non-member,Non-member,Member
10007850,South West,England,Non-member,Member,Non-member
10007851,East Midlands,England,Non-member,Non-member,Member
10007852,Scotland,Scotland,Non-member,Member,Non-member
10007854,Wales,Wales,Non-member,Non-member,Member
10007855,Wales,Wales,Non-member,Member,Non-member
10007856,Wales,Wales,Non-member,Member,Non-member
10007857,Wales,Wales,Non-member,Member,Non-member
10007858,Wales,Wales,Non-member,Member,Non-member
10008010,Northern Ireland,Northern Ireland,Non-member,Non-member,Member
10008017,London,England,Non-member,Non-member,Non-member
10008026,Northern Ireland,Northern Ireland,Non-member,Non-member,Member
10008574,Wales,Wales,Non-member,Member,Non-member
10008640,South West,England,Non-member,Non-member,Member
10014001,East of England,England,Non-member,Member,Non-member
10037449,South West,England,Non-member,Non-member,Member
10040812,West Midlands,England,Non-member,Non-member,Member
