ukprn,he provider,academic year,surplus_vs_income,staff_vs_income,unrestricted_vs_income,ext_borrow_vs_income,net_assets_vs_expend,current_assets_vs_liability,ops_cash_vs_income,net_liquidity_days,debt_service_ratio,avg_salary,avg_remuneration,academic_salary,ps_staff_salary,uk_vs_total_fees,total_fees_vs_income,fbg_vs_income,research_vs_income,donate_vs_income,reside_cater_vs_income,total_income,tuition_fees,finance_vs_expend,depreciate_amort_vs_expend,staff_vs_expend,capital_vs_expend,total_expenditure,vc_bonus_vs_salary,vc_avg_salary,vc_avg_remunerate,vc_median_salary,vc_median_remunerate,provider region,provider country,russell group filter,pre 92 filter,post 92 filter
10000571.0,Bath Spa University,2021/22,-0.002,0.486,1.215,0.186,442.959,1.453,0.089,119.862,0.226,39.946,51.967,46.288,34.219,0.909,0.788,0.045,0.017,0.001,0.089,98792.0,77857.0,0.048,0.042,0.485,0.073,98943.0,0.0,5.407,4.945,6.3,7.5,South West,England,Non-member,Non-member,Member
10000712.0,University College Birmingham,2016/17,0.125,0.507,2.436,0.0,1015.729,4.463,0.186,189.353,inf,35.163,47.671,,,0.685,0.637,0.212,0.0,0.0,0.105,52033.0,33128.0,0.011,0.068,0.579,0.09,45552.0,0.0,6.228,5.139,0.0,0.0,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2017/18,0.138,0.481,2.654,0.0,1124.444,5.088,0.197,260.754,inf,35.278,46.138,32.287,45.683,0.638,0.644,0.186,0.0,0.0,0.107,52833.0,34030.0,0.011,0.066,0.558,0.182,45520.0,0.0,6.35,5.419,6.8,6.7,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2018/19,0.087,0.501,2.672,0.0,1068.451,1.774,0.206,147.246,inf,36.227,46.844,33.229,46.555,0.621,0.666,0.16,0.0,0.0,0.109,53204.0,35443.0,0.009,0.054,0.549,0.546,48572.0,0.0,6.294,7.728,8.4,10.2,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2019/20,0.045,0.538,2.357,0.001,900.933,1.085,0.014,36.956,inf,37.296,49.237,34.214,47.915,0.594,0.686,0.153,0.0,0.0,0.08,52862.0,36289.0,0.009,0.072,0.564,0.314,50471.0,0.0,5.443,5.138,6.2,6.7,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2020/21,0.102,0.504,2.446,0.001,994.349,2.016,0.211,140.233,inf,41.46,54.99,37.819,54.333,0.553,0.705,0.195,0.0,0.0,0.053,56381.0,39762.0,0.011,0.089,0.562,0.021,50621.0,0.0,4.896,4.401,6.5,6.5,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2021/22,0.086,0.408,2.836,0.0,1132.625,2.315,0.263,337.569,inf,39.314,54.021,35.437,53.7,0.655,0.624,0.181,0.0,0.0,0.069,62300.0,38875.0,0.013,0.105,0.447,0.064,56945.0,0.0,5.24,4.554,6.5,6.5,West Midlands,England,Non-member,Non-member,Non-member
10000824.0,Bournemouth University,2016/17,0.04,0.493,0.034,0.18,16.643,0.594,0.105,9.938,1.4,38.629,48.668,,,0.835,0.781,0.077,0.026,0.002,0.06,155130.0,121171.0,0.023,0.073,0.514,0.106,148980.0,0.036,6.446,6.246,0.0,0.0,South West,England,Non-member,Non-member,Member
10000824.0,Bournemouth University,2017/18,0.039,0.503,0.255,0.294,100.508,2.242,0.136,113.157,1.717,40.685,50.947,51.698,31.207,0.838,0.781,0.075,0.032,0.001,0.06,159491.0,124548.0,0.025,0.066,0.524,0.179,153240.0,0.023,6.391,6.144,7.1,7.7,South West,England,Non-member,Non-member,Member
10000824.0,Bournemouth University,2018/19,0.025,0.515,0.252,0.375,97.708,1.339,0.126,72.495,5.862,41.515,51.97,53.136,31.828,0.84,0.782,0.069,0.041,0.0,0.061,160188.0,125188.0,0.023,0.067,0.528,0.313,156111.0,0.0,6.624,6.215,7.6,7.9,South West,England,Non-member,Non-member,Member
10000824.0,Bournemouth University,2019/20,0.015,0.525,-0.062,0.425,-19.551,0.849,0.106,46.358,3.787,42.949,55.249,53.945,33.655,0.787,0.795,0.071,0.033,0.001,0.05,164420.0,130791.0,0.023,0.071,0.533,0.181,161898.0,0.0,6.45,6.226,7.5,8.0,South West,England,Non-member,Non-member,Member
10000824.0,Bournemouth University,2020/21,0.032,0.524,-0.182,0.351,-64.396,1.059,0.148,71.512,2.532,43.295,56.039,58.469,31.806,0.815,0.82,0.081,0.028,0.003,0.036,162490.0,133170.0,0.024,0.083,0.541,0.066,157352.0,0.0,6.352,6.121,7.5,7.8,South West,England,Non-member,Non-member,Member
10000824.0,Bournemouth University,2021/22,0.033,0.52,0.539,0.321,207.624,1.536,0.141,109.703,5.331,43.067,56.025,57.912,31.281,0.806,0.802,0.079,0.03,0.001,0.041,169674.0,136051.0,0.028,0.084,0.538,0.045,164001.0,0.0,6.618,6.283,7.6,7.8,South West,England,Non-member,Non-member,Member
10000886.0,The University of Brighton,2016/17,0.002,0.626,0.974,0.429,356.346,2.131,0.116,149.957,2.181,39.204,51.083,,,0.817,0.697,0.096,0.042,0.003,0.088,207403.0,144623.0,0.032,0.034,0.627,0.121,207089.0,0.0,6.071,4.659,0.0,0.0,South East,England,Non-member,Non-member,Member
10000886.0,The University of Brighton,2017/18,0.038,0.578,1.078,0.391,409.712,2.443,0.069,142.456,1.504,39.673,50.488,53.183,29.001,0.814,0.697,0.101,0.037,0.002,0.089,215289.0,150063.0,0.032,0.032,0.601,0.045,207062.0,0.0,6.1,4.793,8.6,7.9,South East,England,Non-member,Non-member,Member
10000886.0,The University of Brighton,2018/19,0.024,0.597,0.978,0.366,366.424,2.153,0.084,129.565,1.526,40.074,50.937,53.884,29.326,0.785,0.681,0.11,0.035,0.002,0.091,211453.0,143903.0,0.028,0.033,0.612,0.109,206297.0,0.0,6.089,4.79,8.8,7.7,South East,England,Non-member,Non-member,Member
10000886.0,The University of Brighton,2019/20,-0.017,0.634,0.704,0.383,252.974,1.864,0.056,122.484,1.272,40.078,52.528,53.018,30.075,0.794,0.7,0.108,0.043,0.002,0.07,197371.0,138237.0,0.029,0.038,0.623,0.043,200778.0,0.0,5.988,4.569,8.7,7.2,South East,England,Non-member,Non-member,Member
10000886.0,The University of Brighton,2020/21,-0.0,0.63,0.551,0.371,202.355,1.534,0.088,105.493,1.978,40.773,53.261,54.227,30.225,0.781,0.709,0.115,0.041,0.003,0.062,191478.0,135786.0,0.031,0.035,0.63,0.149,191529.0,0.0,5.69,4.356,7.3,6.9,South East,England,Non-member,Non-member,Member
10000886.0,The University of Brighton,2021/22,-0.025,0.636,1.307,0.345,466.627,1.264,0.054,85.761,1.228,41.571,54.11,54.339,31.091,0.786,0.67,0.107,0.043,0.002,0.099,193530.0,129663.0,0.033,0.04,0.621,0.125,198370.0,0.0,6.014,4.62,7.1,7.4,South East,England,Non-member,Non-member,Member
10000936.0,The University College of Osteopathy,2016/17,0.107,0.578,0.959,0.745,441.63,4.089,0.185,197.695,2.645,38.676,42.743,,,0.818,0.622,0.185,0.0,0.032,0.0,5470.0,3401.0,0.041,0.053,0.647,0.018,4887.0,0.054,3.361,3.299,0.0,0.0,London,England,Non-member,Non-member,Non-member
10000936.0,The University College of Osteopathy,2017/18,0.071,0.578,1.033,0.725,455.675,3.928,0.164,223.632,2.333,38.595,42.689,29.569,71.312,0.85,0.658,0.177,0.0,0.015,0.0,5467.0,3595.0,0.038,0.052,0.622,0.04,5080.0,0.038,3.446,3.326,3.9,4.0,London,England,Non-member,Non-member,Non-member
10000936.0,The University College of Osteopathy,2018/19,0.054,0.609,1.046,0.667,456.694,4.659,0.093,220.516,1.334,41.253,45.827,31.0,73.722,0.836,0.608,0.163,0.024,0.038,0.0,5640.0,3430.0,0.033,0.055,0.644,0.026,5338.0,0.045,3.224,3.142,3.9,4.0,London,England,Non-member,Non-member,Non-member
10000936.0,The University College of Osteopathy,2019/20,-0.077,0.649,1.1,0.702,410.474,4.243,-0.021,178.234,-0.283,38.513,43.092,29.4,62.381,0.783,0.659,0.175,0.011,0.003,0.0,5046.0,3325.0,0.03,0.057,0.603,0.003,5434.0,0.0,3.453,3.202,4.1,4.1,London,England,Non-member,Non-member,Non-member
10000936.0,The University College of Osteopathy,2020/21,0.012,0.601,1.124,0.642,451.532,4.407,0.103,197.476,1.464,38.431,43.278,48.065,31.146,0.887,0.638,0.161,0.006,0.02,0.0,5187.0,3309.0,0.029,0.057,0.608,0.019,5125.0,0.0,3.383,3.119,3.4,3.4,London,England,Non-member,Non-member,Non-member
10000936.0,The University College of Osteopathy,2021/22,0.035,0.568,1.09,0.561,443.063,1.809,0.097,198.999,1.467,39.268,44.352,52.033,29.927,0.788,0.598,0.162,0.015,0.036,0.0,5545.0,3318.0,0.027,0.055,0.589,0.038,5349.0,0.0,3.387,3.111,3.4,3.4,London,England,Non-member,Non-member,Non-member
10000961.0,Brunel University London,2016/17,-0.005,0.554,0.938,0.438,344.093,1.686,0.067,110.135,2.369,46.486,59.387,,,0.639,0.525,0.131,0.104,0.002,0.178,200612.0,105416.0,0.031,0.078,0.551,0.14,201540.0,0.0,6.669,5.54,0.0,0.0,London,England,Non-member,Member,Non-member
10000961.0,Brunel University London,2017/18,0.028,0.517,0.929,0.391,351.898,1.572,0.105,97.721,3.087,47.107,61.206,47.118,47.099,0.639,0.53,0.142,0.103,0.002,0.171,220732.0,116962.0,0.028,0.081,0.532,0.095,214514.0,0.0,6.581,5.375,8.0,7.4,London,England,Non-member,Member,Non-member
10000961.0,Brunel University London,2018/19,0.006,0.53,0.698,0.384,259.182,1.355,0.103,97.016,3.198,49.466,64.807,49.466,49.466,0.624,0.544,0.132,0.1,0.001,0.167,229753.0,124882.0,0.025,0.08,0.533,0.069,228406.0,0.032,6.267,5.169,7.4,6.7,London,England,Non-member,Member,Non-member
10000961.0,Brunel University London,2019/20,0.011,0.56,0.887,0.363,245.974,1.466,0.05,97.23,2.101,49.689,64.454,60.076,41.431,0.581,0.569,0.128,0.11,0.001,0.136,237084.0,134933.0,0.026,0.08,0.566,0.034,234521.0,0.0,6.339,5.011,7.2,6.7,London,England,Non-member,Member,Non-member
10000961.0,Brunel University London,2020/21,-0.061,0.574,0.787,0.361,212.316,1.468,0.119,124.605,4.935,49.571,64.113,59.525,41.23,0.558,0.633,0.125,0.089,0.002,0.09,234044.0,148263.0,0.022,0.072,0.541,0.067,248389.0,0.0,6.355,5.007,7.2,6.1,London,England,Non-member,Member,Non-member
10000961.0,Brunel University London,2021/22,0.044,0.501,0.788,0.306,273.135,1.553,0.082,118.7,3.913,48.254,62.558,48.761,47.824,0.478,0.591,0.098,0.082,0.008,0.134,271349.0,160467.0,0.021,0.069,0.524,0.084,259474.0,0.0,6.155,5.387,6.15,5.9,London,England,Non-member,Member,Non-member
10000975.0,Buckinghamshire New University,2016/17,-0.038,0.506,0.327,0.456,115.116,0.841,0.017,141.172,0.47,36.964,46.44,,,0.93,0.75,0.081,0.01,0.0,0.115,61911.0,46430.0,0.041,0.069,0.488,0.033,64280.0,0.0,5.465,5.06,0.0,0.0,South East,England,Non-member,Non-member,Member
10000975.0,Buckinghamshire New University,2017/18,-0.068,0.535,0.435,0.415,148.853,2.74,0.142,151.83,1.372,35.994,48.721,40.18,32.33,0.942,0.745,0.082,0.013,0.0,0.119,57335.0,42721.0,0.043,0.073,0.501,0.006,61248.0,0.0,5.695,4.906,5.8,6.1,South East,England,Non-member,Non-member,Member
10000975.0,Buckinghamshire New University,2018/19,-0.021,0.364,0.204,0.277,73.156,2.534,0.084,113.657,3.083,36.213,49.226,37.418,35.122,0.888,0.802,0.059,0.007,0.0,0.075,84540.0,67786.0,0.028,0.053,0.356,0.041,86301.0,0.0,5.357,4.652,5.8,6.05,South East,England,Non-member,Non-member,Member
10000975.0,Buckinghamshire New University,2019/20,0.05,0.254,0.077,0.358,29.472,2.423,0.068,96.127,2.596,39.072,50.8,39.799,38.433,0.93,0.851,0.051,0.004,0.028,0.035,117266.0,99834.0,0.027,0.044,0.267,0.028,111436.0,0.0,5.093,4.744,5.9,5.8,South East,England,Non-member,Non-member,Member
